PROJECTNAME,PROJECTAGENCY,DATE,EVENTNAME,COLLECTIONNUMBER,VESSELNAME,GEARNAME,GEARCODE,TOWTYPETEXT,LOCATION,REGION,DEPTHZONE,STATIONCODE,EVENTTYPEDESCRIPTION,TEMPSURFACE,TEMPBOTTOM,SALINITYSURFACE,SALINITYBOTTOM,LIGHTPHASE,TIMESTART,TIMEZONE,DURATION,DEPTHSTART,DEPTHEND,PRESSURE,WINDSPEED,WINDDIRECTION,WAVEHEIGHT,TEMPAIR,PRECIPITATION,ESTIMATEDLOC,LATITUDESTART,LATITUDEEND,LONGITUDESTART,LONGITUDEEND,SDO,BDO,SEDSIZEDESC,BTMCOMPDESC,WEATHERDESC,WATERLVLDESC,ALTERATIONDESC,ACTIVITYDESC,NUMBERREP,ACCSPGRIDCODE,COMMENTS,LASTUPDATED
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410138",="041013801",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YT56",="STRATIFIED RANDOM EVENT",26.40,25,12.89999962,16,="DAY",="16:22",="EDT",20,5.1999998090,5.1999998090,,0,,,,="F",="F",35.38330078,,-75.90000153,,,,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:19 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410139",="041013901",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YU59",="STRATIFIED RANDOM EVENT",27.40,25.50,15,18.50,="DAY",="15:50",="EDT",20,5.50,5.50,,0,,,,="F",="F",35.38330078,,-75.84999847,,,,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:19 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410140",="041014001",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YS70",="STRATIFIED RANDOM EVENT",27.80,25.40,18.20000076,19.29999924,="DAY",="14:28",="EDT",20,5.8000001910,5.8000001910,,0,,,,="F",="F",35.40000153,,-75.68329620,,,,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:19 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410141",="041014101",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YT67",="STRATIFIED RANDOM EVENT",27.80,25.10,16.20000076,19.20000076,="DAY",="13:50",="EDT",20,5.8000001910,5.8000001910,,5,45,,,="F",="F",35.38330078,,-75.71669769,,,,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:19 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410142",="041014201",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YX71",="STRATIFIED RANDOM EVENT",26.50,25.10,19.60000038,19.60000038,="DAY",="12:55",="EDT",20,4.3000001910,4.3000001910,,3,0,,,="F",="F",35.31669998,,-75.66670227,,,,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:19 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410143",="041014301",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YX67",="STRATIFIED RANDOM EVENT",26.30,25.30,19.89999962,19.79999924,="DAY",="12:10",="EDT",20,4.5999999050,4.5999999050,,3,0,,,="F",="F",35.31669998,,-75.71669769,,,,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:19 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410144",="041014401",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YY68",="STRATIFIED RANDOM EVENT",25.80,25.20,19.70000076,19.89999962,="DAY",="11:45",="EDT",20,3,3,,3,45,,,="F",="F",35.29999924,,-75.71669769,,,,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:19 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410145",="041014501",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZB58",="STRATIFIED RANDOM EVENT",25.50,25.20,17.89999962,20.70000076,="DAY",="10:20",="EDT",20,3.7000000480,3.7000000480,,3,0,,,="F",="F",35.25,,-75.86669922,,,,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410146",="041014601",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZE58",="STRATIFIED RANDOM EVENT",25.30,24.80,16.50,20.70000076,="DAY",="09:30",="EDT",20,4,4,,0,,,,="F",="F",35.20000076,,-75.88330078,,,,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-16-2004,="0410147",="041014701",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZC54",="STRATIFIED RANDOM EVENT",25.40,24.50,16.50,19.60000038,="DAY",="08:50",="EDT",20,6.0999999050,6.0999999050,,0,,,,="F",="F",35.23329926,,-75.94999695,,,,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410148",="041014801",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZF49",="STRATIFIED RANDOM EVENT",25.20,24.50,16.50,16.50,="DAY",="17:00",="EDT",20,5.50,5.50,,5,135,,,="F",="F",35.20000076,,-76.03330231,,,,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410149",="041014901",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YX49",="STRATIFIED RANDOM EVENT",25,25,17.20000076,17.20000076,="DAY",="15:45",="EDT",20,5.50,5.50,,8,135,,,="F",="F",35.31669998,,-76.01670074,,,,,,="75% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410150",="041015001",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YY49",="STRATIFIED RANDOM EVENT",25.10,24.70,17,17.39999962,="DAY",="15:10",="EDT",20,4.3000001910,4.3000001910,,8,135,,,="F",="F",35.29999924,,-76.03330231,,,,,,="75% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410151",="041015101",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YZ46",="STRATIFIED RANDOM EVENT",25,24.10,14.50,15.69999981,="DAY",="14:35",="EDT",20,4,4,,10,135,,,="F",="F",35.29999924,,-76.06670380,,,,,,="75% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410152",="041015201",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YY46",="STRATIFIED RANDOM EVENT",25.80,25.60,15.19999981,15.80000019,="DAY",="14:08",="EDT",20,2.4000000950,2.4000000950,,5,135,,,="F",="F",35.31669998,,-76.08329773,,,,,,="75% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410153",="041015301",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YX44",="STRATIFIED RANDOM EVENT",25.10,25.20,14.89999962,14.80000019,="DAY",="13:35",="EDT",20,3,3,,10,135,,,="F",="F",35.31669998,,-76.11669922,,,,,,="75% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410154",="041015401",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZH38",="STRATIFIED RANDOM EVENT",25.90,25.10,19.70000076,20,="DAY",="12:00",="EDT",20,5.8000001910,5.8000001910,,5,225,,,="F",="F",35.16669846,,-76.21669769,,,,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410155",="041015501",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZE28",="STRATIFIED RANDOM EVENT",25.50,25,15,17.60000038,="DAY",="10:40",="EDT",20,3.7000000480,3.7000000480,,5,225,,,="F",="F",35.20000076,,-76.36669922,,,,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:20 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410156",="041015601",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZH31",="STRATIFIED RANDOM EVENT",24.90,24.80,18.70000076,18.79999924,="DAY",="09:53",="EDT",20,4.3000001910,4.3000001910,,5,135,,,="F",="F",35.15000153,,-76.31670380,,,,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410157",="041015701",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZH32",="STRATIFIED RANDOM EVENT",24.80,24.70,19,19,="DAY",="09:20",="EDT",20,4.3000001910,4.3000001910,,5,135,,,="F",="F",35.15000153,,-76.30000305,,,,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-15-2004,="0410158",="041015801",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZN30",="STRATIFIED RANDOM EVENT",24.50,24.40,17.79999924,18.20000076,="DAY",="08:10",="EDT",20,5.50,5.50,,5,135,,,="F",="F",35.04999924,,-76.34999847,,,,,,="100% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-14-2004,="0410159",="041015901",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="ZN27",="STRATIFIED RANDOM EVENT",24.50,24.50,18.70000076,18.70000076,="DAY",="15:45",="EDT",20,3.4000000950,3.4000000950,,20,45,,,="F",="F",35.04999924,,-76.38330078,,,,,,="100% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-14-2004,="0410160",="041016001",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZL30",="STRATIFIED RANDOM EVENT",24.70,24.70,18.89999962,18.89999962,="DAY",="11:50",="EDT",20,6.0999999050,6.0999999050,,20,45,,,="F",="F",35.09999847,,-76.33329773,,,,,,="100% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-14-2004,="0410161",="041016101",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZH28",="STRATIFIED RANDOM EVENT",24.40,24.40,18.10000038,18.10000038,="DAY",="10:55",="EDT",20,5.50,5.50,,20,45,,,="F",="F",35.15000153,,-76.38330078,,,,,,="100% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-14-2004,="0410162",="041016201",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZN18",="STRATIFIED RANDOM EVENT",24.50,24.50,14,14,="DAY",="09:08",="EDT",20,6.4000000950,6.4000000950,,20,45,,,="F",="F",35.04999924,,-76.55000305,,,,,,="100% COVER",,,,="01",="635-0029-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-14-2004,="0410163",="041016301",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZO16",="STRATIFIED RANDOM EVENT",24.70,24.60,12.19999981,12.30000019,="DAY",="08:30",="EDT",20,6.4000000950,6.4000000950,,20,45,,,="F",="F",35.03329849,,-76.58329773,,,,,,="100% COVER",,,,="01",="635-0029-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-14-2004,="0410164",="041016401",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZQ14",="STRATIFIED RANDOM EVENT",24.80,24.60,12.19999981,12.30000019,="DAWN",="07:45",="EDT",20,4.3000001910,4.3000001910,,20,45,,,="F",="F",35.01670074,,-76.61669922,,,,,,="100% COVER",,,,="01",="635-0029-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-13-2004,="0410165",="041016500",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZT88",="STRATIFIED RANDOM EVENT",25.50,25.40,2.50,2.50,="DAY",="14:15",="EDT",20,3.7000000480,3.7000000480,,15,45,,,="F",="F",34.95000076,,-76.84999847,,,,,,="50% COVER",,,,="02",="701-0029-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-13-2004,="0410165",="041016501",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZT88",="STRATIFIED RANDOM EVENT",25.50,25.40,2.50,2.50,="DAY",="14:15",="EDT",20,3.7000000480,3.7000000480,,15,45,,,="F",="F",34.95000076,,-76.84999847,,,,,,="50% COVER",,,,="02",="701-0029-000000",,3/1/2018 10:15:21 AM
="Pamlico Sound Survey",="NCDMF",09-13-2004,="0410166",="041016600",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZT3",="STRATIFIED RANDOM EVENT",25.70,25.80,3.4000000950,3.4000000950,="DAY",="13:32",="EDT",20,5.50,5.50,,15,45,,,="F",="F",34.95000076,,-76.78330231,,9.70,9.50,,,="25% COVER",,,,="02",="701-0029-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-13-2004,="0410166",="041016601",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZT3",="STRATIFIED RANDOM EVENT",25.70,25.80,3.4000000950,3.4000000950,="DAY",="13:32",="EDT",20,5.50,5.50,,15,45,,,="F",="F",34.95000076,,-76.78330231,,9.70,9.50,,,="25% COVER",,,,="02",="701-0029-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410167",="041016700",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YS3",="STRATIFIED RANDOM EVENT",24.20,22,4.6999998090,5.0999999050,="DAY",="14:38",="EDT",20,3.7000000480,3.7000000480,,5,45,,,="F",="F",35.40000153,,-76.78330231,,10.80,7.50,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410167",="041016701",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YS3",="STRATIFIED RANDOM EVENT",24.20,22,4.6999998090,5.0999999050,="DAY",="14:38",="EDT",20,3.7000000480,3.7000000480,,5,45,,,="F",="F",35.40000153,,-76.78330231,,10.80,7.50,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410168",="041016800",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YT7",="STRATIFIED RANDOM EVENT",24.50,22.40,4.8000001910,5.1999998090,="DAY",="13:58",="EDT",20,4.5999999050,4.5999999050,,5,45,,,="F",="F",35.40000153,,-76.71669769,,10.90,7.20,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410168",="041016801",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YT7",="STRATIFIED RANDOM EVENT",24.50,22.40,4.8000001910,5.1999998090,="DAY",="13:58",="EDT",20,4.5999999050,4.5999999050,,5,45,,,="F",="F",35.40000153,,-76.71669769,,10.90,7.20,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410169",="041016900",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YS9",="STRATIFIED RANDOM EVENT",23.50,22.90,5.6999998090,6.1999998090,="DAY",="13:28",="EDT",20,3.7000000480,3.7000000480,,5,45,,,="F",="F",35.40000153,,-76.68329620,,10.10,9.80,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410169",="041016901",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YS9",="STRATIFIED RANDOM EVENT",23.50,22.90,5.6999998090,6.1999998090,="DAY",="13:28",="EDT",20,3.7000000480,3.7000000480,,5,45,,,="F",="F",35.40000153,,-76.68329620,,10.10,9.80,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410170",="041017000",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YU11",="STRATIFIED RANDOM EVENT",23.70,23,3.9000000950,4.3000001910,="DAY",="12:56",="EDT",20,4.5999999050,4.5999999050,,5,45,,,="F",="F",35.38330078,,-76.65000153,,10.70,10.30,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410170",="041017001",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YU11",="STRATIFIED RANDOM EVENT",23.70,23,3.9000000950,4.3000001910,="DAY",="12:56",="EDT",20,4.5999999050,4.5999999050,,5,45,,,="F",="F",35.38330078,,-76.65000153,,10.70,10.30,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410171",="041017100",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YL15",="STRATIFIED RANDOM EVENT",22.80,22.30,8.6000003810,9.1000003810,="DAY",="11:09",="EDT",20,3,3,,5,0,,,="F",="F",35.53329849,,-76.58329773,,8.20,7.40,,,="CLEAR SKIES",,,,="02",="635-0052-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410171",="041017101",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YL15",="STRATIFIED RANDOM EVENT",22.80,22.30,8.6000003810,9.1000003810,="DAY",="11:09",="EDT",20,3,3,,5,0,,,="F",="F",35.53329849,,-76.58329773,,8.20,7.40,,,="CLEAR SKIES",,,,="02",="635-0052-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410172",="041017200",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YL16",="STRATIFIED RANDOM EVENT",22.70,22.20,8.6000003810,9,="DAY",="10:35",="EDT",20,3,3,,7,45,,,="F",="F",35.51670074,,-76.56670380,,8.10,7.80,,,="CLEAR SKIES",,,,="02",="635-0052-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410172",="041017201",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YL16",="STRATIFIED RANDOM EVENT",22.70,22.20,8.6000003810,9,="DAY",="10:35",="EDT",20,3,3,,7,45,,,="F",="F",35.51670074,,-76.56670380,,8.10,7.80,,,="CLEAR SKIES",,,,="02",="635-0052-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410173",="041017300",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YT18",="STRATIFIED RANDOM EVENT",22.50,22.30,11.69999981,12.80000019,="DAY",="09:03",="EDT",20,4.3000001910,4.3000001910,,5,45,,,="F",="F",35.38330078,,-76.53330231,,8.50,7.60,,,="CLEAR SKIES",,,,="02",="635-0052-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410173",="041017301",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YT18",="STRATIFIED RANDOM EVENT",22.50,22.30,11.69999981,12.80000019,="DAY",="09:03",="EDT",20,4.3000001910,4.3000001910,,5,45,,,="F",="F",35.38330078,,-76.53330231,,8.50,7.60,,,="CLEAR SKIES",,,,="02",="635-0052-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-23-2004,="0410174",="041017401",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YW18",="STRATIFIED RANDOM EVENT",23.10,22.80,7.3000001910,7.8000001910,="DAY",="08:21",="EDT",20,4.5999999050,4.5999999050,,5,45,,,="F",="F",35.34999847,,-76.53330231,,9.70,9.50,,,="CLEAR SKIES",,,,="01",="635-0033-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-22-2004,="0410175",="041017501",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YO60",="STRATIFIED RANDOM EVENT",22.40,22.10,16.29999924,16.60000038,="DAY",="17:38",="EDT",20,4.9000000950,4.9000000950,,8,45,,,="F",="F",35.48329926,,-75.84999847,,9.70,9.50,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:15:22 AM
="Pamlico Sound Survey",="NCDMF",09-22-2004,="0410176",="041017601",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YL56",="STRATIFIED RANDOM EVENT",22.60,22.40,14.69999981,14.89999962,="DAY",="16:46",="EDT",20,3,3,,7,45,,,="F",="F",35.53329849,,-75.90000153,,10,9.80,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:15:22 AM
